,month,year,et,crop,name
2001-01-01,1,2001,19.348668381653646,1,Corn
2001-01-01,1,2001,18.776319813990686,176,Grass/Pasture
2001-01-01,1,2001,18.116706183696227,76,Walnuts
2001-01-01,1,2001,18.212271344822646,75,Almonds
2001-01-01,1,2001,17.16945208485231,36,Alfalfa
2001-01-01,1,2001,18.40828523236858,69,Grapes
2001-02-01,2,2001,24.408098729757164,1,Corn
2001-02-01,2,2001,23.158851274576573,176,Grass/Pasture
2001-02-01,2,2001,22.732729191279542,76,Walnuts
2001-02-01,2,2001,23.038276057577132,75,Almonds
2001-02-01,2,2001,22.868620620907915,36,Alfalfa
2001-02-01,2,2001,23.09643514262489,69,Grapes
2001-03-01,3,2001,56.17925191957217,1,Corn
2001-03-01,3,2001,56.24534747554714,176,Grass/Pasture
2001-03-01,3,2001,51.83833669204832,76,Walnuts
2001-03-01,3,2001,51.29573670173883,75,Almonds
2001-03-01,3,2001,49.728569946456396,36,Alfalfa
2001-03-01,3,2001,47.67501544509052,69,Grapes
2001-04-01,4,2001,61.25467117998626,1,Corn
2001-04-01,4,2001,65.54116360804589,176,Grass/Pasture
2001-04-01,4,2001,63.17631314284423,76,Walnuts
2001-04-01,4,2001,58.963768324255945,75,Almonds
2001-04-01,4,2001,53.56486508365253,36,Alfalfa
2001-04-01,4,2001,50.112561969336305,69,Grapes
2001-05-01,5,2001,49.509237083132234,1,Corn
2001-05-01,5,2001,41.33008189125822,176,Grass/Pasture
2001-05-01,5,2001,51.586458991104536,76,Walnuts
2001-05-01,5,2001,41.23537985166907,75,Almonds
2001-05-01,5,2001,37.82779760312236,36,Alfalfa
2001-05-01,5,2001,40.079639226198196,69,Grapes
2001-06-01,6,2001,51.99492641038947,1,Corn
2001-06-01,6,2001,32.99641085065168,176,Grass/Pasture
2001-06-01,6,2001,44.87496775205246,76,Walnuts
2001-06-01,6,2001,35.66596952104568,75,Almonds
2001-06-01,6,2001,33.65233731916985,36,Alfalfa
2001-06-01,6,2001,36.236330092874915,69,Grapes
2001-07-01,7,2001,79.83191506275327,1,Corn
2001-07-01,7,2001,37.069822405373465,176,Grass/Pasture
2001-07-01,7,2001,56.61002401733549,76,Walnuts
2001-07-01,7,2001,49.97636425193548,75,Almonds
2001-07-01,7,2001,47.28737852406597,36,Alfalfa
2001-07-01,7,2001,49.17587503544555,69,Grapes
2001-08-01,8,2001,75.57592452167373,1,Corn
2001-08-01,8,2001,32.84214569337191,176,Grass/Pasture
