year,BAY AREA/DELTA,CENTRAL COAST,COLORADO DESERT,KLAMATH/NORTH COAST,MODOC,MOJAVE,SACRAMENTO VALLEY,SAN JOAQUIN VALLEY,SIERRA,SOUTH COAST
2002,648.9732893434078,575.1635021785584,178.26852165415386,570.1269468569355,331.059412836491,151.39476554892252,396.51813614123057,366.95904932123364,375.15849467726804,435.42736243073455
2003,643.4457567650259,581.8395785960279,209.46730362414013,538.8108560751834,345.31097228077056,181.0342626557143,414.73455492761445,387.066033932385,399.2853489823031,479.6215190743404
2004,654.922766060041,582.3933419409469,197.18799043615292,572.0328246747418,347.24730646370415,176.77015611453533,406.285348441792,382.58722242278054,398.6153150935684,462.4077168204142
2005,683.5450117558667,667.3130842114186,244.8294081462339,582.7386253639152,380.7548945791342,229.10954794740672,467.8669463625997,464.9721420746852,433.7674840156882,547.2557043477768
2006,657.1438384457535,648.6563725422624,211.92823793746072,544.9679583684033,349.085953239624,201.92950232185845,407.5571230575673,444.2360236119853,414.9258069254606,516.1306388931066
2007,641.6642870356635,577.0378258751922,193.6674253723619,565.1524924797093,342.53878693963856,155.10980467284998,382.43681386801745,362.0259709892312,382.8969075653305,455.7282115570241
2008,627.4638254911334,577.7725205731099,200.3346556788697,563.3045535800937,336.6909843596506,168.12829933163056,378.53988354490633,392.4804359933374,374.95966183902226,458.0485304767533
2009,624.7517463179713,570.870045214796,203.66696833963795,538.7372220540923,336.44800154791795,178.75850979754978,388.3159333853107,385.58842161569885,380.17144963718545,487.05591508952256
2010,653.1344651422993,618.6605590950572,220.9376292162658,546.5851815469266,356.80649893612406,196.06848037969448,426.7435417106567,413.24795739660726,399.4002392976034,513.6625668749009
2011,650.7637264654973,637.0311537627874,227.9675824509177,548.0518694466053,359.9611105877308,211.2405367319546,441.7924205457383,456.33145366133795,423.0553674211957,547.2040086761341
2012,661.0601566613351,606.5285476086742,207.10035623527548,581.933133688817,368.4907585709229,166.2955227939179,431.0175207285441,408.3956329207154,411.1899351302265,517.4124048710162
2013,640.0950270977032,571.3366487185144,206.9017877015446,569.0932643510878,334.59775675337045,157.4171058987913,390.6269405068804,392.2294267516912,375.34597522624045,485.67456852418246
2014,632.9582820157057,527.385695305623,193.3636794960222,580.9763432701211,341.606958728749,151.32679570078167,370.1423290245456,329.3915099340446,351.8962381805094,432.7356480476785
2015,660.4407518823466,574.2144216028554,201.72292810943566,574.2487167180955,354.1685279691937,162.72197873994622,408.58187796230965,363.2386251520267,394.3746405590915,459.4102285257673
2016,647.2374854987697,587.414259415527,202.8055025020779,563.2011040767306,366.08301184699195,175.79932526086833,406.9062489726092,388.4366048794315,398.654169793406,485.33583668436785
2017,652.7496590178929,598.3063599464931,216.6381539285956,552.0837701752198,356.330204245862,194.29911250893565,417.1407802557402,412.4968427885215,378.57475949035415,472.2067903260462
