,California,Central Valley,Delta,Imperial Valley,Napa,Oak Savanna,San Joaquin,Sonoma
2001-01-01,17.963056271987416,18.332927300081938,18.198284513195148,14.09214280584696,22.116501983477804,18.223573599474495,18.014529767635317,24.525516509884298
2001-02-01,21.447965862921475,23.246967775784334,21.0716391414872,17.1122633827671,25.16417062878882,21.325607653602543,23.707982689907702,28.856363186555857
2001-03-01,43.3428740069566,53.76728643424332,46.85102620892499,24.505713566128883,56.40077071341182,48.66499563489094,51.487862922930205,65.33944515667042
2001-04-01,49.27418629990538,58.31876967463995,52.99871534889281,24.22245061968471,73.57930446143433,62.02101058270557,55.074765995254594,85.9534816899029
2001-05-01,41.56983919843406,36.462933799080574,48.78646385576088,23.679205329047814,58.88708270101063,46.22256850502099,35.94226204880775,85.22461677696955
2001-06-01,39.1844555174145,32.307185328923126,47.3070397333325,24.66645160717287,54.33898135536513,55.000364766063456,30.895626129039428,78.60429418748926
2001-07-01,44.384352882134884,45.02793657189595,58.75747792040491,25.392990950843263,70.32630265550564,40.57326822204283,48.75273772588107,97.71087123922004
2001-08-01,37.53066605527453,42.57857162766189,64.71490564271419,24.184791708906108,64.14331587953141,29.944430665438436,46.707333374804854,89.14765155923419
2001-09-01,28.861547224222647,30.56399447747506,39.79234170539217,18.988829609780318,46.13528650585017,28.416137221347853,34.03508587110541,63.504934651641065
2001-10-01,21.873930973415085,22.652508055771463,25.375530650946484,15.035957511159904,30.080155711721275,32.64926457524778,24.832760575524063,38.09388737606833
2001-11-01,17.639904852663882,18.769267328018575,18.95360010144598,12.060221427366805,21.22610010121683,19.503048694277382,20.24446742204341,22.54927269240759
2001-12-01,14.17348312697418,15.026765938749538,12.651043902360955,10.62951915298311,13.688537816350744,9.065998006238038,16.59850785852775,14.890340992255387
2002-01-01,17.15918888213041,18.661423887365057,17.83858419588099,10.825062469598556,21.35781621384195,17.166133965833122,18.832408767467676,22.318951552277436
2002-02-01,22.37578639492044,28.752986860057465,27.377625470386125,11.39458557406494,32.7550786813118,29.68894870214194,28.454054683142026,34.16368420397526
2002-03-01,34.55722146551388,44.7914411248748,42.47056935938242,17.350300287431743,53.91901718147155,46.26349022398032,43.41744770518124,60.630742764377516
2002-04-01,46.05164622244264,56.198200075985284,61.75715629967095,20.901147955819553,74.86296593351909,59.203124261764145,53.221740676549615,82.9232180360646
2002-05-01,47.54300121799738,48.31833603171254,66.2387486228144,22.746700116355008,74.72081116380461,58.00913006713592,48.290182552543236,98.70854985877808
2002-06-01,42.31911986760306,39.701461628874306,60.34449097061656,24.445826185936166,65.93750948479925,52.624253171036045,40.26181454420185,93.54538681138516
2002-07-01,39.636842417079095,41.880169587859285,66.66561821181112,24.81663457958034,67.07492480045445,30.913764994067837,45.64664929794355,91.44624424459501
2002-08-01,32.77651076901398,37.754905479323035,57.26688599305627,22.38861484486832,54.533193882784325,23.841038604098628,42.47504568004361,71.5419170973503
2002-09-01,26.468632465300924,27.770647189761178,34.453063524518335,20.023537037146983,40.849983802875364,22.504349814121987,30.54865444115144,55.74184580511101
2002-10-01,23.035212110354845,22.737434526351755,23.28352900278506,18.10555419071039,32.45577791047421,27.427936220623884,25.541930653368173,38.00447500423153
2002-11-01,17.0156397784231,16.76903725468016,17.21059321733045,12.187109081671602,23.185436396881226,25.325628572917843,17.425188622833364,25.2146042758012
2002-12-01,16.771721756761252,16.891777288631197,15.965449511224687,13.975490702366267,17.5476265729986,13.847920412758748,18.43497715855963,17.784227425549457
2003-01-01,19.03276206338552,18.661739037857387,21.41371002699692,12.272280698959229,21.563093991455336,20.718982194681242,18.381378395213357,20.07715882062962
2003-02-01,25.19749628987036,28.41649099292966,29.18028073785193,17.60781592206782,31.79930663656539,31.789483525188096,27.64188426816573,33.395506953027265
2003-03-01,42.57621237987391,53.44158744066695,51.133792969256795,23.354121492166584,63.721436435676914,54.65796127281036,51.21852852549389,65.69825346948512
2003-04-01,46.33892911328917,55.49820034311426,55.298282841113235,24.62211615225946,66.13802870811641,52.70661507744387,53.422678688858554,72.9994413274685
2003-05-01,51.51040633069604,56.28526134997098,72.99365459187493,25.94606189106008,87.20141439077528,55.356347725094565,53.14693472030146,101.8970067100487
2003-06-01,48.869479485649194,49.59673869995002,72.5582843051531,24.253189869304677,85.24614071372834,47.55294090293975,52.28146444949645,93.9334510711135
2003-07-01,40.158936381813646,38.46386137791044,61.7155645495934,25.729837204427323,62.91441793420294,32.56626622312998,39.90236252346167,87.89470792625451
2003-08-01,41.68092576965379,47.834030719705915,68.70828341220685,25.0175559670144,72.43815780412682,37.422189947112976,54.067021022394606,87.41653146376548
2003-09-01,29.43237765354527,32.909374732492104,38.08916415999697,20.64108744930874,48.690769216133695,24.65671913451459,37.88369426287781,58.14675545287596
2003-10-01,21.468121419399772,21.785203353295177,22.308283297491325,16.24255265266405,33.87320261275398,26.21836574692803,24.493227637286072,40.0672547424227
2003-11-01,18.97041764172962,19.750757079500858,21.277777231176486,13.24343146441962,23.166226467967483,22.72563454975564,20.861679578957652,23.671933552388666
2003-12-01,13.682149542562863,15.205322288536065,18.178845129087957,11.231993381117375,15.653807412924063,12.315517702794457,15.72591680423103,16.438537809224158
2004-01-01,16.884164379454532,15.889663419945927,18.37866134418867,11.890919744993345,19.236370729356764,17.39809802449851,15.659577384370019,18.850141934468954
2004-02-01,22.54299360777769,25.19052848575761,29.95771814781334,18.435131498820187,26.970470893175836,22.774551834567006,25.009807828955392,28.986943230657516
2004-03-01,38.6600025303709,49.545484671619846,44.334122722373586,22.555044024618255,57.812589662072476,43.500559299107046,47.465484096729206,66.01217826704979
2004-04-01,44.50591327247411,47.675145533093136,49.6234182631158,22.80421366883465,70.36434362955097,48.93438663827367,45.68624635424756,80.58447784769619
2004-05-01,51.91568351551624,52.00140281783534,71.21243071275232,23.75344628268934,91.09935773152677,62.88060415964049,52.35697068775566,103.24892500331799
2004-06-01,51.3573305033217,57.95282413372565,78.25709585119917,23.668848430716483,85.06578451343232,53.42177687639214,66.96141407736108,94.89304556642736
2004-07-01,48.555951043993446,60.26560241552779,93.26555350937768,24.536887546637043,85.9577897656792,41.06982709748678,71.37705730398056,98.28669321301642
2004-08-01,42.12689471082577,53.851980710347455,77.58934196252474,22.553027033748716,73.37344262451735,32.90663719895374,63.833772106478214,82.95025921717348
2004-09-01,29.51548434789171,31.325816503122947,36.58002212253541,19.007377113608815,42.86248803065023,29.397199889981596,36.01379154484993,54.65982072266642
2004-10-01,27.418754267822997,28.695589321638977,29.41844583213017,19.343129728742788,37.97845769854628,31.633756063070646,31.417643614772867,40.42322902422679
2004-11-01,22.526679119384692,20.82501028685333,21.399185741759094,17.12884943951232,25.828271456093493,27.447423579463035,20.943727181313164,27.288549688041346
2004-12-01,16.879737526786,14.9123829396783,14.038614568597984,14.40085263793244,20.17389956220921,19.942662460976337,13.892646223003426,20.265739445881675
2005-01-01,19.502625531310763,16.01639528928476,16.949372793055332,19.566382900539985,22.715097872495324,14.770046310970583,15.45656194283182,21.67501014631475
2005-02-01,26.629905513929664,29.92481988816434,28.20432834725105,23.245088969766897,29.882595807541602,27.96023439355643,31.05597936080627,29.40051183482239
2005-03-01,41.12240448378497,51.30332077391562,49.07654399959204,26.11070854286746,55.91974725533914,46.84342584576472,49.96058414915233,58.653754291276094
2005-04-01,50.17476375116542,62.17923504874044,65.58276560918199,22.072480627720715,79.73807044891275,57.11558089916966,58.40050329280193,87.47537743925515
2005-05-01,57.83466876326202,63.605214459327485,77.70783567553416,26.124155184704623,92.77136184858121,64.53454438797442,64.95800773576943,102.87626770705168
2005-06-01,56.80835449873164,58.06520413904952,64.30754618182857,24.95148459856696,92.44474246471428,75.8228111985218,62.70711258352747,100.72287318288093
2005-07-01,49.29267045062939,52.115185291710496,65.26379574624656,27.160490762671206,79.76111724614383,40.31605968393954,59.535935953947764,103.84775487961632
2005-08-01,39.91305224060206,43.678805763014466,63.15741854344363,25.640492490928434,66.38517702479922,24.70979387908576,51.400549215485626,83.15737604397596
2005-09-01,34.669951705316016,40.339855483481756,48.792259228167104,18.977435624411676,55.53912956676469,30.887800943420586,50.072659452394994,62.82377273819878
2005-10-01,28.740758713037117,28.89580888833335,29.755013502393094,17.987786821778037,40.825792379172206,38.22706239745321,33.162491835826195,44.81846132626878
2005-11-01,17.492348966155223,17.336609185045244,21.317029707718895,12.451059166653804,26.009706477193507,24.01160518448037,16.84050246194011,27.45761586456402
2005-12-01,14.550941303593424,14.513733838046859,16.953660903800845,10.47473235313041,17.109917978608376,15.542019859554776,14.810066454659559,17.139929057474404
2006-01-01,18.233419531780346,20.321304851732943,26.263788385697065,12.95146029139444,21.618283684709166,15.982594646722916,21.371411741977813,22.065168735771586
2006-02-01,21.11851521403819,25.696917485409845,29.927220545514093,12.542069241544947,29.45201142332531,28.792085906109183,25.789576149575225,31.65317368165982
2006-03-01,33.65248502991735,41.53721361044596,48.52480468450417,23.991395009066533,38.94177161178489,31.410415251211948,42.74337442375608,42.06173397192029
2006-04-01,46.93042607216258,60.552092273845204,58.30451222614468,26.164862808803168,59.432260771543426,43.35131871413035,63.56355226080999,66.5729504291471
2006-05-01,55.8711685610662,61.57942249412347,55.05869936381334,25.503464208207923,89.53302157153847,60.28803602447472,64.09891151422192,102.54311877644753
2006-06-01,50.30304778089522,50.98383257943544,77.34770993287651,25.122243552989055,82.41941919004465,57.870649659490006,55.931380175551695,96.17416241221652
2006-07-01,44.74434579192163,46.41609689004839,64.30231189790197,27.340507725939275,71.06705952280447,34.92703078621363,52.83943876076849,93.86570144525776
2006-08-01,39.82217466507193,47.78477734954763,54.04660826484571,23.745181698652672,69.35292725488748,30.04456107719356,57.3960328272594,85.32539978913613
2006-09-01,29.45353775260436,32.9052198963109,37.04107286730362,23.03429011581147,47.03158502668265,25.427567915744092,39.17299592878079,57.280912706109426
2006-10-01,26.0814694137127,26.25866085567389,24.43488661703015,17.572621004275103,33.689762487660985,36.745925123672414,30.87828115233797,37.61359725009669
2006-11-01,17.137619528446326,18.55615715551453,23.258554262952654,12.534107624412819,26.45868149633358,27.253655812826498,18.466657005548424,26.52251542414346
2006-12-01,14.038679375790032,13.797996957558075,17.978302474889457,10.803283152192998,18.341231104568447,14.8175405591846,13.640923244823844,19.413586382239977
2007-01-01,16.295218677070498,16.168914775509382,20.776208182592043,11.871412617614828,22.8940112203271,21.68354411596754,14.880114708677016,24.611358979772266
2007-02-01,21.296879889707103,23.42984170228417,27.017819957583363,17.035263991488918,26.20239634871869,24.68956497443249,23.511239824880512,27.7659088372973
2007-03-01,35.34694625659372,43.04438160443961,52.59791452254301,18.491478842031732,61.01086259985335,52.896084389294,39.07753829478227,65.69278031319243
2007-04-01,43.36522547738158,46.951941023916326,55.00410113347138,21.96535579928572,70.90008170880296,54.26274395850768,44.59681178278071,83.54182167900369
