year,BAY AREA/DELTA,CENTRAL COAST,COLORADO DESERT,KLAMATH/NORTH COAST,MODOC,MOJAVE,SACRAMENTO VALLEY,SAN JOAQUIN VALLEY,SIERRA,SOUTH COAST
2002,646.7596241471352,557.8042931936715,171.15076765778608,572.5184642605935,333.43543962721924,151.28251358168475,393.4457813912138,371.7460756227674,379.22764584087224,415.6241302064258
2003,641.6644364482224,566.5472584000863,200.20286866043762,541.0951685761822,347.3809986462335,180.67916805520966,411.1388633769782,390.778720953019,403.1921244453488,462.04151359102343
2004,653.1193645093456,564.9129788951279,188.6612967403559,575.6129927614909,349.4598381593072,176.2775486301644,403.1118214109934,386.8985530866355,404.0421418546362,441.7254189172381
2005,683.2568260144593,652.9056218986589,236.15202401594817,585.7612371075113,382.41534952629166,228.61634883875777,464.3960437674568,468.8840247727289,437.9069288375381,528.1087169578069
2006,655.7332398080623,633.6382106020732,203.61799482058848,548.5471262310803,351.18654970779835,201.51843969649042,404.09616132137955,446.88350237085916,418.43328955551834,499.06192996452074
2007,639.2038154501024,555.5446651887112,186.4117171922023,569.5499650224733,345.340680826874,153.8804779018402,379.14690453452766,367.15007556925764,388.04900566894037,434.9809857829156
2008,625.1687585545837,561.0600352450757,193.60405809280616,567.8061451381278,340.3460213266161,167.21279817297898,375.5241222232705,395.5750097649674,379.49177303044974,436.4281505006308
2009,622.6749412564106,553.7480476289513,196.18402397111768,541.9799405643435,339.9550851761015,178.1202887163032,386.33350002617294,389.91490559330197,383.8886656067043,466.6153062539639
2010,651.9073236523832,603.5342341754497,212.67724183330358,550.168485125688,359.8612476090935,195.72001869000584,424.1611376559203,416.75766724813695,402.7219574533976,494.47778528746727
2011,649.9130136638898,622.7852265095855,218.22859447638294,551.4121712400987,362.2812238336501,210.74238613276032,439.1893638394855,458.87665229380843,426.88603001225283,531.9292950189214
2012,660.9664969554892,586.7611642768906,197.19658827984625,585.6777822960006,372.511382618064,165.0290035900475,426.93232597611296,412.663897533379,417.0688686168719,499.7377929111905
2013,638.4016353472027,553.4637520026035,198.3181507467698,573.2107887779189,338.8699970003332,156.34057739333932,387.3992360575371,396.2180039485435,380.4625730101701,465.14097953497753
2014,631.609073433609,507.50083642973385,185.31190152770338,584.8553878525719,346.5989449478036,150.39632660217154,367.5216108434638,332.8864068423874,356.9231194408379,411.1355500023125
2015,659.6333999042565,557.1182820012136,193.0495075669385,577.818108784731,359.1690225835341,162.1340637028725,405.3796388005567,366.5021486026421,399.0643332892757,438.75413679551065
2016,645.0569459369947,570.4652520448633,193.2476352578335,566.1547614860725,370.52946225228334,175.3800820559685,403.94707680059287,392.9059175576718,401.85249672392604,465.9906796945541
2017,651.3613598445991,584.0932635883297,208.713502185584,554.8045928837919,360.32789159189934,194.21604805982264,414.9285411004701,414.40660796240394,380.8815421217466,451.88630821639566
