year,Alfalfa,Almonds,Corn,Grapes,Grass/Pasture,Walnuts
2002,413.0509964580969,439.97975901499086,558.3187127731223,418.2702383664696,391.7283329393616,481.4721056273017
2003,431.6718410215453,455.55452710629993,579.4852714479351,428.9815469350863,410.4866796025409,495.2768625422618
2004,433.7149358334654,466.6351526101351,593.1361719229064,434.87479202828706,386.71614243069246,511.73686669243534
2005,493.5414274359342,538.6187523045778,629.9454250585684,503.62597096323077,467.69855431716167,568.5089493048359
2006,467.9741908078669,507.8525044852227,614.8728336639729,484.79865499132393,425.12779181711977,523.6512676641381
2007,431.0929701413447,449.6355405682802,580.6379042793161,418.3079276842869,363.97521844506,486.82132656092523
2008,446.67071313887806,460.62190424064994,572.1241099273329,427.58273175025084,380.89009493719595,484.4374272949412
2009,446.3428639065407,468.82934071491957,581.3040598690128,440.61774316712945,385.21413423269155,497.62436763091927
2010,448.1674152357818,501.1317747463464,584.421482043334,459.23210746095964,431.9820908382963,525.196592118059
2011,474.57534806691433,542.4148320539593,611.9486809834401,491.1213312477819,442.166806772436,547.987278128997
2012,459.0299567348104,518.0111196168662,617.3686513471462,469.1384111733174,397.9683422987172,538.2268517904613
2013,441.38715609935707,489.40824530936476,599.3259621054862,442.4359386269887,375.45193474327453,499.3106479766384
2014,394.17353286450026,441.30657121673516,552.463719774174,397.9536587728823,343.15497025933723,473.7457728378281
2015,417.26410007439074,478.01367737279236,582.2000029827213,431.74841707256417,389.002192634939,516.2386034941146
2016,421.47865404355275,498.4407480644643,571.6227806461872,446.42733015019127,409.09640673481476,525.9280885866098
2017,423.9426855777306,500.09481409927014,575.0919997242072,454.6467105551295,420.95884067001464,519.868121384022
