year,California,Central Valley,Delta,Imperial Valley,Napa,Oak Savanna,San Joaquin,Sonoma
2002,374.469849165293,411.04289360844194,496.2720748420161,213.95593295024548,569.1528973289244,423.1072277764838,423.6485417569723,718.1874917376846
2003,389.2298449596974,425.7039891910959,517.4231449329728,239.5525264621618,591.3163642427859,406.6429693167468,436.1653149014292,687.7341322044111
2004,391.25901621762017,424.2035986134181,522.0413648209959,235.21406176962375,607.285498607224,404.81467013671454,446.07340225862777,706.2114327965494
2005,439.0962235588891,490.97057177565097,574.1195563433682,259.04042432434875,659.6459648352801,469.4441493258897,520.0173870392874,724.6780859126071
2006,410.7687855691931,457.55078174462506,540.66591277032,238.96749233157965,607.0276089256278,411.38944215007336,499.320411640147,700.3152179172612
2007,377.8112012633621,402.79478157418794,494.38752791987673,231.65345161697059,600.8613783226937,418.03479899292495,427.120530989506,712.5419659927556
2008,380.45911534093557,414.03131282087287,521.6050608516987,232.9561758378555,579.0222116142872,435.95979865410004,447.2170430925553,689.5830126241602
2009,381.3845906376072,417.15885127253426,538.753229507133,231.48855957673888,581.1455980230973,417.65931644778414,441.99321152619365,671.5492079608113
2010,403.4384872113799,443.6056582507906,559.2054199351691,240.09559191356783,613.8887256200098,425.8792126637745,455.8346185222653,698.2115553760548
2011,419.8465666792625,473.48678360956353,581.6489296959644,240.9925634345193,621.8368554973399,424.9097408403355,503.52097097759867,696.114955439747
2012,404.649061403604,447.4750029833269,608.370132451438,233.80568463775634,646.8193352368345,454.18806337628024,476.3414810864441,723.6414313656485
2013,382.1484550522586,424.0941928557,525.7197114260408,232.54645537011095,593.900991356095,397.3379926419402,453.8848551563833,693.8425326891439
2014,364.15101301629903,378.40297671782866,539.5408534681453,227.63027713447366,593.6964390893147,409.5749878488391,384.3202292073938,701.0984749386711
2015,386.50723903746353,412.1678974371845,566.2578386878156,232.6877419998095,630.2853331071905,264.633810943808,408.0353472953056,719.7764274214256
2016,392.8668639478787,425.4432205238645,559.0443232746024,235.27919516326637,589.4365909997205,304.7904084777856,433.754745385772,687.082326611701
2017,394.21419451025787,438.07695240800507,528.527463418651,243.9721723172484,605.2229944928279,325.1837494576791,447.44993916191623,705.6461977609688
