,BAY AREA/DELTA,CENTRAL COAST,COLORADO DESERT,KLAMATH/NORTH COAST,MODOC,MOJAVE,SACRAMENTO VALLEY,SAN JOAQUIN VALLEY,SIERRA,SOUTH COAST
2002,604.083487289,501.083811804,153.437831073,602.696576406,359.631448144,199.632108041,430.820500785,385.412335483,399.974466294,385.797394403
2003,594.904982342,500.927041914,167.432932747,580.916789894,376.004147344,214.091436093,449.743294639,376.68550513,403.163356905,403.872375607
2004,587.337016547,479.398430005,154.636853578,603.738288977,363.638461397,209.582641759,414.836178787,353.55950045,386.295025825,376.074807089
2005,628.923705299,574.705493397,227.046825512,616.868271588,400.206185888,272.386274831,479.138456759,434.449580684,439.196482076,465.695825606
2006,608.329729516,547.692730248,184.536567715,598.332421602,376.731656615,246.208451535,439.082753034,419.040530471,422.837817426,424.913391358
2007,573.759676795,452.639589036,152.25425538,604.328707938,354.733362439,187.300557993,391.624476765,331.70582759,372.406052038,355.46464769
2008,562.761594137,478.061376248,168.805760111,588.439279223,352.546070325,201.368710796,386.134031583,361.967304051,374.202879565,376.34075851
2009,565.77679228,472.066820458,171.997812931,572.419103394,360.121716728,210.769163444,407.25036857,361.324338253,382.035383524,390.810132835
2010,607.289857583,530.575649383,198.296814488,577.409554869,378.951082232,236.089910954,450.213761614,408.037486408,412.301045922,426.875109064
2011,611.683894181,551.272603039,200.450572834,589.948768444,387.559411886,257.155358679,464.290511769,438.556661003,438.725427137,457.856780194
2012,596.376490704,484.057830799,163.596325094,618.345868096,379.925335747,196.18833713,421.952627742,363.812087208,400.977782848,401.113231182
2013,576.313812958,461.60125497,165.685016517,606.93957463,358.105865017,179.434782238,404.613782234,358.885057603,377.232484127,377.422771177
2014,555.479573767,422.164508244,169.168309341,601.280564352,352.61411708,193.162194712,366.097626066,308.430287647,352.914305729,342.842611605
2015,599.03446795,472.889615903,191.180425397,605.56018284,373.08728378,223.208146825,408.960920011,342.766449773,381.840568848,368.487524683
2016,590.2318761,489.077361116,188.899970665,584.407556125,383.701480916,230.839731781,414.37298696,377.039673485,403.875889329,387.377486233
